Name,Price,Discount
RichRipple LED Display Bluetooth Headsets 9D Stereo Wireless Earphones Earpods,KSh 519,44%
"Vitron HTC4388FS - 43"" Smart Android Frameless TV - Black","KSh 19,799",31%
NIVEA Perfect & Radiant Even Tone Day And Night Cream For Women - 50ml,"KSh 1,058",41%
AILYONS HD-199A Electric Dry Iron Box Silver & Black (1YR WRTY),KSh 929,34%
NIVEA Radiant & Beauty Advanced Care Lotion For Women - 400ml (Pack Of 2),KSh 990,32%
Garnier Even & Matte Vitamin  C Booster Serum 30ml.,"KSh 1,050",40%
Garnier Even & Matte Vitamin C Protection Cream SPF30 50ml,KSh 910,27%
"NIVEA Pearl & Beauty Anti-Perspirant Rollon, 48h - 50ml (Pack Of 2)",KSh 728,30%
RichRipple Pro3 Bluetooth Headsets Wireless Pods Pro Earpods Earphones,KSh 499,34%
Garnier Bright Complete Bundle Pack,"KSh 2,305",32%
Starlink Standard Actuated Kit,"KSh 45,500",55%
AILYONS FK-0310 Stainless Steel 2.2L Electric Water Kettle-Black (1YR WRTY),KSh 902,44%
Hikers 32'' Inch Frameless Android Smart HD LED TV - Black(1YR WRTY),"KSh 11,328",44%
Garnier Pure Active 3 In1 Charcoal  Anti  Blackhead Mask Wash Scrub -150ml,"KSh 1,034",23%
Nunix Hair Red Blow Dryer With Beauty Accessories HD-01,KSh 800,26%
Rashnik Manual Water Dispenser Pump,KSh 286,No discount
Garnier Even & Matte Vitamin C  Booster Serum 15ml,KSh 651,28%
Garnier Even & Matte Vitamin C Cleansing Foam,KSh 579,30%
AILYONS TYB-205 Blender 2In1 With GrinderMachine 1.5LBlack (1YR WRTY),"KSh 1,699",35%
Vitron VB-Y44 - 2in1 Blender - 1.5L - 350W - White & Yellow,"KSh 1,820",39%
AILYONS AFK-111 Water Dispenser Hot And Normal With Storage Cabinet,"KSh 3,299",34%
Itel ISW-O11 Waterproof Native Storm  Smart Watch,"KSh 1,550",30%
